model,cv accuracy,cv TPR,cv FPR,test accuracy,test TPR,test FPR
MLP,0.9935952053844893,0.8474444572349488,0.0028602238385847974,0.9933166248955723,0.75,0.001422475106685633
Kernel SVM,0.9707600636800022,0.9802941176470589,0.029478365180350904,0.9718741297688666,1.0,0.028733997155049786
Random Forest,0.9920636082555189,0.6844307586048117,0.00014270424545130217,0.9972152603731551,0.868421052631579,0.0
AdaBoost,0.9921333430934636,0.7402474962587775,0.0013556228203386615,0.9947089947089947,0.8421052631578947,0.001991465149359886
KNN,0.9970761299855441,0.8964521699090595,0.0002859452770605558,0.9977722082985241,0.8947368421052632,0.0
