model,cv accuracy,cv TPR,cv FPR,test accuracy,test TPR,test FPR
MLP,0.9932469917307135,0.802720156555773,0.0019976479647178915,0.9972152603731551,0.881578947368421,0.0002844950213371266
Kernel SVM,0.9706904500357278,0.9802941176470589,0.029549717303076553,0.9715956558061821,1.0,0.029018492176386912
Random Forest,0.9927597446982617,0.7095901922412801,0.00014270424545130217,0.9972152603731551,0.881578947368421,0.0002844950213371266
AdaBoost,0.9926205901259154,0.7468861517209624,0.0010694465519318355,0.9952659426343636,0.8552631578947368,0.0017069701280227596
KNN,0.9970761299855441,0.8964521699090595,0.0002859452770605558,0.9977722082985241,0.8947368421052632,0.0
