model,cv accuracy,cv TPR,cv FPR,test accuracy,test TPR,test FPR
MLP,0.9983590026103139,0.6202569577830781,0.000289427175361436,0.9994828340693003,0.868421052631579,0.00011970791269302901
Kernel SVM,0.9964594081104327,0.973636770705496,0.003463337339081292,0.9967378764371245,0.9605263157894737,0.003152308367583097
Random Forest,0.9990054501326794,0.7193604675900938,0.0,0.9991645781119465,0.7236842105263158,0.0
AdaBoost,0.9982495914422044,0.6054633619353842,0.00035928098507223886,0.9987269761705851,0.631578947368421,0.000159610550257372
KNN,0.9994132158750226,0.8400446720681223,1.996306832360134e-05,0.9995226160639694,0.8421052631578947,0.0
